Date,Cumulative_cases,Recovered_cases,Total_death,Patient_under_treatment,New_case_per_day,Recovered-cases_perDay,Death_cases_perDay,Treatment_cases_perDay
2020-03-02T00:00:00.000Z,2,,,2,2,,,2
2020-03-03T00:00:00.000Z,2,,,2,2,,,2
2020-03-04T00:00:00.000Z,2,,,2,2,,,2
2020-03-05T00:00:00.000Z,2,,,2,2,,,2
2020-03-06T00:00:00.000Z,4,,,4,2,,,2
2020-03-07T00:00:00.000Z,4,,,4,2,,,2
2020-03-08T00:00:00.000Z,6,,,6,2,,,2
2020-03-09T00:00:00.000Z,19,,,19,13,,,13
2020-03-10T00:00:00.000Z,27,2,,25,8,2,,6
2020-03-11T00:00:00.000Z,34,2,1,31,7,2,1,6
2020-03-12T00:00:00.000Z,34,2,1,31,7,2,1,6
2020-03-13T00:00:00.000Z,69,2,4,63,35,2,3,32
2020-03-14T00:00:00.000Z,96,8,5,83,27,6,1,20
2020-03-15T00:00:00.000Z,117,8,5,104,21,6,1,21
2020-03-16T00:00:00.000Z,134,8,5,121,17,6,1,17
2020-03-17T00:00:00.000Z,172,9,5,158,38,1,1,37
2020-03-18T00:00:00.000Z,227,11,19,197,55,2,14,39
2020-03-19T00:00:00.000Z,309,15,25,269,82,4,6,72
2020-03-20T00:00:00.000Z,369,17,32,320,60,2,7,51
2020-03-21T00:00:00.000Z,450,20,38,392,81,3,6,72
2020-03-22T00:00:00.000Z,514,29,48,437,64,9,10,45
2020-03-23T00:00:00.000Z,579,30,49,500,65,1,1,63
2020-03-24T00:00:00.000Z,686,30,55,601,106,1,6,101
2020-03-25T00:00:00.000Z,790,31,58,701,105,1,3,100
2020-03-26T00:00:00.000Z,893,35,78,780,103,4,20,79
2020-03-27T00:00:00.000Z,1046,46,87,913,153,11,9,133
2020-03-28T00:00:00.000Z,1155,59,102,994,109,13,15,81
2020-03-29T00:00:00.000Z,1285,64,114,1107,130,5,12,113
2020-03-30T00:00:00.000Z,1414,75,122,1217,129,11,8,110
2020-03-31T00:00:00.000Z,1528,81,136,1311,114,6,14,94
2020-04-01T00:00:00.000Z,1677,103,157,1417,149,22,21,106
2020-04-02T00:00:00.000Z,1790,112,170,1508,113,9,13,91
2020-04-03T00:00:00.000Z,1986,134,181,1671,196,22,11,163
2020-04-04T00:00:00.000Z,2092,150,191,1751,106,16,10,80
2020-04-05T00:00:00.000Z,2273,164,198,1911,181,14,7,160
2020-04-06T00:00:00.000Z,2491,192,209,2090,218,28,11,179
2020-04-07T00:00:00.000Z,2738,204,221,2313,247,12,12,223
2020-04-08T00:00:00.000Z,2956,222,240,2494,218,18,19,181
2020-04-09T00:00:00.000Z,3293,252,280,2761,337,30,40,267
2020-04-10T00:00:00.000Z,3512,282,306,2924,219,30,26,163
2020-04-11T00:00:00.000Z,3842,286,327,3229,330,4,21,305
2020-04-12T00:00:00.000Z,4241,359,373,3509,399,73,46,280
2020-04-13T00:00:00.000Z,4557,380,399,3778,316,21,26,269
2020-04-14T00:00:00.000Z,4839,426,459,3954,282,46,60,176
2020-04-15T00:00:00.000Z,5136,446,469,4221,297,20,10,267
2020-04-16T00:00:00.000Z,5516,548,496,4472,380,102,27,251
2020-04-17T00:00:00.000Z,5923,607,520,4796,407,59,24,324
2020-04-18T00:00:00.000Z,6248,631,535,5082,325,24,15,286
2020-04-19T00:00:00.000Z,6575,686,582,5307,327,55,47,225
2020-04-20T00:00:00.000Z,6760,747,590,5423,185,61,8,116
2020-04-21T00:00:00.000Z,7135,842,616,5677,375,95,26,254
2020-04-22T00:00:00.000Z,7418,913,635,5870,283,71,19,193
2020-04-23T00:00:00.000Z,7775,960,647,6168,357,47,12,298
2020-04-24T00:00:00.000Z,8211,1002,689,6520,436,42,42,352
2020-04-25T00:00:00.000Z,8607,1042,720,6845,396,40,31,325
2020-04-26T00:00:00.000Z,8882,1107,743,7032,275,65,23,187
2020-04-27T00:00:00.000Z,9096,1151,765,7180,214,44,22,148